goal_bonus,lambda_mean,lambda_std,lambda_median,lambda_p05,lambda_p95,lambda_max,cos_theta_mean,cos_theta_std,cos_theta_median,cos_theta_p05,cos_theta_p95,cos_theta_min,success_rate,mean_ep_reward,std_ep_reward,mean_ep_length,n_eval_episodes,n_context_states,q_q_aug_mean,q_q_aug_std,q_q_aug_min,q_q_aug_max,q_q_aug_argmax,q_q_total_mean,q_q_total_std,q_q_total_min,q_q_total_max,q_q_total_argmax,q_q_sparse_mean,q_q_sparse_std,q_q_sparse_min,q_q_sparse_max,q_q_sparse_argmax
0.0,1.777408480644226,9.463565826416016,0.6049940586090088,0.09443958103656769,5.7033281326293945,3800.691162109375,0.026337016373872757,0.7089791297912598,0.04830009490251541,-0.9866812825202942,0.9893794655799866,-1.0000001192092896,0.69,5.951265122575796,4.975597783607662,13.36,500,15000,-0.5034255185723304,0.14008954896873269,-0.9132583141326904,-0.3256673514842987,-0.7298649599249014,-0.5594231498241424,0.14420997506631933,-0.966367781162262,-0.36424165964126587,-0.7298649599249014,-0.05599763371050358,0.04338456644049233,-0.2409009337425232,-0.018715597689151764,2.316527916283383
1.0,3.17822003364563,13.569781303405762,1.2018287181854248,0.1793302446603775,10.752765655517578,3449.873046875,0.046305105090141296,0.7086306214332581,0.09106766432523727,-0.9852462410926819,0.9899129271507263,-1.0000001192092896,0.704,6.053529712893123,4.9402430939256385,13.272,500,15000,-0.19252600103616715,0.025502318875559298,-0.22840222716331482,-0.1540977507829666,1.1741305877052763,0.7206073939800263,0.03243251081717937,0.6667550206184387,0.7746390700340271,2.126128361520365,0.9131333959102631,0.013004503355959282,0.8871495723724365,0.9467727541923523,2.1895948797747042
5.0,6.627469539642334,25.649995803833008,2.7322769165039062,0.43160825967788696,20.914737701416016,8800.732421875,0.09378689527511597,0.7082059383392334,0.19149592518806458,-0.9829357266426086,0.9917118549346924,-1.0000001192092896,1.0,9.014453612265958,0.6835123849704838,12.922,500,15000,-1.277668865919113,0.04110762202208352,-1.3559846878051758,-1.2185872793197632,1.2375971059596154,2.6696371626853943,0.05487436647318534,2.555743455886841,2.75582218170166,1.7453292519943293,3.9473060178756714,0.0316485161737914,3.8780112266540527,3.998289108276367,-2.379994434537722
10.0,18.082365036010742,99.29901885986328,4.623563289642334,0.6365011930465698,53.75773239135742,21651.6875,0.10160379856824875,0.7065011262893677,0.2041030079126358,-0.9818747639656067,0.9922393560409546,-1.0000001192092896,0.996,8.957012926762218,0.9747675575193422,12.98,500,15000,-0.8589512765407562,0.026547970497610724,-0.8952109813690186,-0.8072195053100586,2.760793544063758,7.682089123725891,0.1844575275218281,7.352678298950195,7.993114471435547,-2.5069274710464007,8.541040391921998,0.1613915733203708,8.245145797729492,8.822332382202148,-2.5069274710464007
50.0,33.369911193847656,205.72865295410156,8.06978702545166,1.2846211194992065,100.44473266601562,49125.203125,0.0872989296913147,0.7067614793777466,0.17407745122909546,-0.9828696250915527,0.9915795922279358,-1.0000001192092896,1.0,8.849048719125308,0.9289577726506401,11.83,500,15000,-1.8375703597068787,0.2639475471009485,-2.1964056491851807,-1.4909286499023438,0.15866629563584844,42.16727039337158,0.701560498713172,40.766685485839844,43.18040466308594,1.2375971059596154,44.00484066009521,0.4837371161799885,42.92999267578125,44.803955078125,1.4279966607226333
100.0,31.7202205657959,416.2611999511719,9.467133522033691,1.7859350442886353,102.34674835205078,463396.09375,0.17295154929161072,0.695833683013916,0.33719533681869507,-0.9761112928390503,0.9937827587127686,-1.0000001192092896,0.75,6.057921015040767,5.311823889098427,16.614,500,15000,-2.8097576475143433,0.25287007874621714,-3.107032060623169,-2.3157598972320557,-0.03173325912716951,86.16603393554688,1.234232504805074,84.17606353759766,88.16910552978516,-0.09519977738150853,88.97579170227051,1.011139553713031,87.2079086303711,90.49132537841797,-0.09519977738150853
1000.0,21.14662742614746,56.23748016357422,11.032217025756836,2.084230422973633,64.94650268554688,10908.408203125,0.14499793946743011,0.6999782919883728,0.2861573398113251,-0.9782543778419495,0.9931654334068298,-1.0000001192092896,1.0,8.39931720572018,1.232983921713741,14.71,500,15000,-39.9203316116333,2.9633695186740296,-43.91112518310547,-34.595489501953125,-2.0626618432660258,762.2519024658203,13.98744155067648,733.4154052734375,781.7831420898438,-2.3165279162833827,802.1722351074219,11.466055406092313,776.8121948242188,816.4507446289062,-2.3165279162833827
10000.0,6.263390064239502,17.9556884765625,3.498612403869629,0.6499339938163757,19.322254180908203,8242.4013671875,0.06187281385064125,0.710939884185791,0.1272478848695755,-0.9854384660720825,0.9908705949783325,-1.0000001192092896,0.438,1.8274832220557835,5.944022314126118,24.632,500,15000,-1634.636357421875,271.022221333636,-2004.009033203125,-1238.7371826171875,2.57039398930074,319.24673950195313,149.11441647011034,100.1412353515625,533.5032958984375,2.126128361520365,1953.8830969238281,131.252383315549,1701.6748046875,2131.62060546875,0.09519977738150898
100000.0,10.439536094665527,21.24761390686035,6.08120059967041,1.1875195503234863,31.073583602905273,4087.138916015625,0.11233110725879669,0.705516517162323,0.2281603366136551,-0.9821851253509521,0.9920317530632019,-1.0000001192092896,0.638,4.568959963113003,5.281675286114526,19.278,500,15000,-11254.427998046875,264.81151832860854,-11590.4140625,-10807.7421875,-2.2530613980290433,54133.6526953125,597.533935050568,53043.86328125,55220.87109375,1.1106640694509373,65388.080703125,724.5161049177323,64250.70703125,66712.28125,1.0471975511965983
1000000.0,5.8036580085754395,16.13631248474121,3.5926003456115723,0.7382151484489441,15.974433898925781,4127.4716796875,-0.24300715327262878,0.7039586901664734,-0.48457443714141846,-0.9959721565246582,0.9733681678771973,-1.0000001192092896,0.0,-3.3797009380247975,2.331967659395396,29.942,500,15000,-19905809.5,80314.84649023492,-20080058.0,-19773400.0,2.062661843266026,38527460.6,381051.66298395814,38090640.0,39352136.0,-3.141592653589793,58433269.92,404099.07952044834,57977388.0,59279392.0,3.078126135335454
