goal_bonus,heading_rad,heading_deg,lambda_mean,lambda_std,lambda_median,cos_theta_mean,cos_theta_std,cos_theta_median,success_rate,mean_ep_reward
0.0,-3.141592653589793,-180.0,2.0338854789733887,5.6867265701293945,0.5820420980453491,-0.017736563459038734,0.7129303216934204,-0.04039756581187248,0.69,5.951265122575796
0.0,-3.0781261353354537,-176.36363636363635,2.398326873779297,9.135632514953613,0.5626894235610962,-0.003329148283228278,0.6989404559135437,0.012487503699958324,0.69,5.951265122575796
0.0,-3.0146596170811146,-172.72727272727272,2.7467665672302246,12.979835510253906,0.5616618394851685,0.00454740971326828,0.702605664730072,0.0035673538222908974,0.69,5.951265122575796
0.0,-2.951193098826775,-169.0909090909091,2.4258463382720947,10.336106300354004,0.5805321931838989,-0.01333856675773859,0.7020047903060913,-0.05281045287847519,0.69,5.951265122575796
0.0,-2.887726580572436,-165.45454545454547,2.1925082206726074,7.034234046936035,0.6039457321166992,-0.01878715492784977,0.7045612931251526,-0.05384981632232666,0.69,5.951265122575796
0.0,-2.8242600623180967,-161.8181818181818,2.2570087909698486,7.569690227508545,0.5735180974006653,-0.023666927590966225,0.6959049701690674,-0.06990580260753632,0.69,5.951265122575796
0.0,-2.7607935440637577,-158.1818181818182,2.077620267868042,10.336834907531738,0.5975847244262695,-0.03974810242652893,0.705702006816864,-0.07702586054801941,0.69,5.951265122575796
0.0,-2.697327025809418,-154.54545454545453,1.930647373199463,5.39790153503418,0.6031777858734131,-0.04782245308160782,0.7070289850234985,-0.08989813178777695,0.69,5.951265122575796
0.0,-2.633860507555079,-150.9090909090909,1.6686887741088867,7.051976203918457,0.5869121551513672,-0.05574217811226845,0.7121727466583252,-0.08549338579177856,0.69,5.951265122575796
0.0,-2.5703939893007397,-147.27272727272725,1.5010684728622437,4.677160263061523,0.5891252160072327,-0.02487264759838581,0.714481770992279,-0.03475743904709816,0.69,5.951265122575796
0.0,-2.5069274710464007,-143.63636363636365,1.541097640991211,9.362299919128418,0.5577290058135986,-0.016803836449980736,0.7185207605361938,-0.04488501325249672,0.69,5.951265122575796
0.0,-2.443460952792061,-140.0,1.3389666080474854,4.091766834259033,0.5258049964904785,-0.011307514272630215,0.7152637839317322,-0.0371769443154335,0.69,5.951265122575796
0.0,-2.379994434537722,-136.36363636363637,1.2998143434524536,4.194915294647217,0.5267606973648071,0.02469259686768055,0.7132803201675415,0.038577742874622345,0.69,5.951265122575796
0.0,-2.3165279162833827,-132.72727272727272,1.3194953203201294,4.286498546600342,0.5383169651031494,0.04949788376688957,0.7061031460762024,0.10059090703725815,0.69,5.951265122575796
0.0,-2.2530613980290433,-129.09090909090907,1.3023942708969116,3.8197109699249268,0.5329536199569702,0.05845829099416733,0.712197482585907,0.12502211332321167,0.69,5.951265122575796
0.0,-2.1895948797747042,-125.45454545454545,1.362181544303894,3.258838176727295,0.582945704460144,0.031783826649188995,0.7075915336608887,0.04608413577079773,0.69,5.951265122575796
0.0,-2.126128361520365,-121.81818181818183,1.422421932220459,3.068103313446045,0.6027466654777527,0.02150033414363861,0.7100692987442017,0.04190433770418167,0.69,5.951265122575796
0.0,-2.0626618432660258,-118.18181818181817,1.3790194988250732,3.011977434158325,0.6083102226257324,0.025625072419643402,0.7177712321281433,0.046851400285959244,0.69,5.951265122575796
0.0,-1.9991953250116865,-114.54545454545455,1.3131619691848755,3.1192193031311035,0.596732497215271,0.0005430943565443158,0.7057846784591675,-0.010558594949543476,0.69,5.951265122575796
0.0,-1.9357288067573473,-110.9090909090909,1.370549201965332,4.135567665100098,0.5901966094970703,0.00215777475386858,0.6940513849258423,-0.018572641536593437,0.69,5.951265122575796
