episode,step,x,y,t,runway,path_len,rta,total_dist_km
5,3,0.10124257966717932,0.7254521093828018,0.016666666666666666,09,51.867738865160696,0.09351851851851851,291.0356458545128
5,4,0.07116227244643646,0.6759708207480222,0.022222222222222223,09,69.1569851535476,0.09351851851851851,291.0356458545128
5,5,0.040434499461420755,0.6268747644482007,0.027777777777777776,09,86.44623144193449,0.09351851851851851,291.0356458545128
5,6,0.012247558339940474,0.5763346324448739,0.03333333333333333,09,103.73547773032139,0.09351851851851851,291.0356458545128
5,7,-0.011243894240495924,0.5235305139736288,0.03888888888888889,09,121.02472401870828,0.09351851851851851,291.0356458545128
5,8,-0.031485590057942596,0.46944170004827124,0.044444444444444446,09,138.3139703070952,0.09351851851851851,291.0356458545128
5,9,-0.05026452377055544,0.41484474759609197,0.05,09,155.60321659548208,0.09351851851851851,291.0356458545128
5,10,-0.0775124732604047,0.363834522313672,0.05555555555555555,09,172.89246288386897,0.09351851851851851,291.0356458545128
5,11,-0.11129837455009108,0.3167942726904151,0.06111111111111111,09,190.1817091722559,0.09351851851851851,291.0356458545128
5,12,-0.14401684171313053,0.26902287436578803,0.06666666666666667,09,207.47095546064278,0.09351851851851851,291.0356458545128
5,13,-0.16951431796456123,0.21712514546224007,0.07222222222222222,09,224.76020174902968,0.09351851851851851,291.0356458545128
5,14,-0.18783986106834671,0.16235135588816732,0.07777777777777778,09,242.04944803741657,0.09351851851851851,291.0356458545128
5,15,-0.20172310320297138,0.10632248695153865,0.08333333333333333,09,259.3386943258035,0.09351851851851851,291.0356458545128
5,16,-0.20671354966756708,0.0488772249295913,0.08888888888888889,09,276.6279406141904,0.09351851851851851,291.0356458545128
5,17,-0.17319900471821936,0.01694489581573389,0.09351851851851851,09,291.0356458545128,0.09351851851851851,291.0356458545128
