episode,step,x,y,t,runway,path_len,rta,total_dist_km
1,0,-0.8074061666473721,-0.0013807948951153192,0.0,18L,-0.0,0.08402777777777778,261.49985011185186
1,1,-0.7499177368403829,0.004293008870109306,0.005555555555555556,18L,17.2892462883869,0.08402777777777778,261.49985011185186
1,2,-0.692279489804308,0.006939130728558835,0.011111111111111112,18L,34.5784925767738,0.08402777777777778,261.49985011185186
1,3,-0.6346884507645195,0.005424668247297141,0.016666666666666666,18L,51.867738865160696,0.08402777777777778,261.49985011185186
1,4,-0.5776283101395671,-0.0016980086797900517,0.022222222222222223,18L,69.1569851535476,0.08402777777777778,261.49985011185186
1,5,-0.5202280204191725,-0.0058990305515371115,0.027777777777777776,18L,86.44623144193449,0.08402777777777778,261.49985011185186
1,6,-0.4626442112898032,-0.0027318197919810254,0.03333333333333333,18L,103.73547773032139,0.08402777777777778,261.49985011185186
1,7,-0.40607763398090185,0.009097707292302712,0.03888888888888889,18L,121.02472401870828,0.08402777777777778,261.49985011185186
1,8,-0.3514043511136553,0.02805945860920924,0.044444444444444446,18L,138.3139703070952,0.08402777777777778,261.49985011185186
1,9,-0.29993098524592093,0.054624908613321387,0.05,18L,155.60321659548208,0.08402777777777778,261.49985011185186
1,10,-0.2522820463082534,0.08759889353284711,0.05555555555555555,18L,172.89246288386897,0.08402777777777778,261.49985011185186
1,11,-0.20863558724714693,0.12570630357340604,0.06111111111111111,18L,190.1817091722559,0.08402777777777778,261.49985011185186
1,12,-0.16551161276405313,0.16440121170008934,0.06666666666666667,18L,207.47095546064278,0.08402777777777778,261.49985011185186
1,13,-0.11967506495032591,0.19987067053135718,0.07222222222222222,18L,224.76020174902968,0.08402777777777778,261.49985011185186
1,14,-0.0639584341874863,0.2158032645835661,0.07777777777777778,18L,242.04944803741657,0.08402777777777778,261.49985011185186
1,15,-0.024659408195701886,0.17718596973045583,0.08333333333333333,18L,259.3386943258035,0.08402777777777778,261.49985011185186
1,16,-0.022070792058437167,0.17048247651258555,0.08402777777777778,18L,261.49985011185186,0.08402777777777778,261.49985011185186
2,0,0.49286822149396964,-0.4373559391149774,0.0,06,-0.0,0.0798611111111111,248.53291539556164
2,1,0.4372759401753305,-0.44218084725023243,0.005555555555555556,06,17.2892462883869,0.0798611111111111,248.53291539556164
2,2,0.380586931959149,-0.43675779226882444,0.011111111111111112,06,34.5784925767738,0.0798611111111111,248.53291539556164
2,3,0.32472249712009166,-0.42517941478398386,0.016666666666666666,06,51.867738865160696,0.0798611111111111,248.53291539556164
2,4,0.26887254517460113,-0.4135300900974251,0.022222222222222223,06,69.1569851535476,0.0798611111111111,248.53291539556164
2,5,0.21323128580657633,-0.4008669333841052,0.027777777777777776,06,86.44623144193449,0.0798611111111111,248.53291539556164
2,6,0.15773906341385405,-0.3875370121037305,0.03333333333333333,06,103.73547773032139,0.0798611111111111,248.53291539556164
2,7,0.10465610618518256,-0.366347487991288,0.03888888888888889,06,121.02472401870828,0.0798611111111111,248.53291539556164
2,8,0.05314201871011567,-0.34149634227933445,0.044444444444444446,06,138.3139703070952,0.0798611111111111,248.53291539556164
2,9,0.0007205984383593681,-0.3186723485268448,0.05,06,155.60321659548208,0.0798611111111111,248.53291539556164
2,10,-0.05052704477978611,-0.2932785666601446,0.05555555555555555,06,172.89246288386897,0.0798611111111111,248.53291539556164
2,11,-0.09312132358095661,-0.25496118747809704,0.06111111111111111,06,190.1817091722559,0.0798611111111111,248.53291539556164
2,12,-0.13292456847950732,-0.21368871677829399,0.06666666666666667,06,207.47095546064278,0.0798611111111111,248.53291539556164
2,13,-0.16328508905515465,-0.16495169810596494,0.07222222222222222,06,224.76020174902968,0.0798611111111111,248.53291539556164
2,14,-0.16655726440316293,-0.10762566704356914,0.07777777777777778,06,242.04944803741657,0.0798611111111111,248.53291539556164
2,15,-0.15632483387391996,-0.08890876604974998,0.0798611111111111,06,248.53291539556164,0.0798611111111111,248.53291539556164
3,0,-0.011896523051796799,-0.6232119208455319,0.0,09,-0.0,0.07037037037037037,218.99711965290072
3,1,0.0062589910491147715,-0.5686491574834334,0.005555555555555556,09,17.2892462883869,0.07037037037037037,218.99711965290072
3,2,0.014521942733632739,-0.5116365509894474,0.011111111111111112,09,34.5784925767738,0.07037037037037037,218.99711965290072
3,3,0.007776748825021224,-0.4544248456957109,0.016666666666666666,09,51.867738865160696,0.07037037037037037,218.99711965290072
3,4,-0.008835836093859075,-0.3993043761167261,0.022222222222222223,09,69.1569851535476,0.07037037037037037,218.99711965290072
3,5,-0.036748278848496053,-0.3490807571403519,0.027777777777777776,09,86.44623144193449,0.07037037037037037,218.99711965290072
3,6,-0.07901741891304842,-0.31048217122041144,0.03333333333333333,09,103.73547773032139,0.07037037037037037,218.99711965290072
3,7,-0.12752102570816193,-0.2801874289647128,0.03888888888888889,09,121.02472401870828,0.07037037037037037,218.99711965290072
3,8,-0.1734948052594957,-0.2461292076181166,0.044444444444444446,09,138.3139703070952,0.07037037037037037,218.99711965290072
3,9,-0.21025953330888472,-0.2021786168071821,0.05,09,155.60321659548208,0.07037037037037037,218.99711965290072
3,10,-0.22849767362279624,-0.14772838055376272,0.05555555555555555,09,172.89246288386897,0.07037037037037037,218.99711965290072
3,11,-0.22993799630781075,-0.09014772252931373,0.06111111111111111,09,190.1817091722559,0.07037037037037037,218.99711965290072
3,12,-0.19823491029475387,-0.042335598791368674,0.06666666666666667,09,207.47095546064278,0.07037037037037037,218.99711965290072
3,13,-0.17253530500005515,-0.013649013688395047,0.07037037037037037,09,218.99711965290072,0.07037037037037037,218.99711965290072
4,0,0.2323012067677904,-0.4257113155618729,0.0,36R,-0.0,0.03148148148148148,97.97239563419242
4,1,0.19642723596746883,-0.3807167080456487,0.005555555555555556,36R,17.2892462883869,0.03148148148148148,97.97239563419242
4,2,0.16357868173551166,-0.3334268815136823,0.011111111111111112,36R,34.5784925767738,0.03148148148148148,97.97239563419242
4,3,0.12940163663384255,-0.28710494872361475,0.016666666666666666,36R,51.867738865160696,0.03148148148148148,97.97239563419242
4,4,0.09078632669715352,-0.24447271528176537,0.022222222222222223,36R,69.1569851535476,0.03148148148148148,97.97239563419242
4,5,0.049115891804540505,-0.204867680025117,0.027777777777777776,36R,86.44623144193449,0.03148148148148148,97.97239563419242
4,6,0.027987096256371857,-0.17283990277282693,0.03148148148148148,36R,97.97239563419242,0.03148148148148148,97.97239563419242
5,0,0.18349728327054196,0.8782304232761722,0.0,09,-0.0,0.09351851851851851,291.0356458545128
5,1,0.15719348628203814,0.8267429747424095,0.005555555555555556,09,17.2892462883869,0.09351851851851851,291.0356458545128
5,2,0.12997182675872382,0.7756984790829018,0.011111111111111112,09,34.5784925767738,0.09351851851851851,291.0356458545128
